Ingredients,A,B,C,D,E,Total Magimin,Price (Quinn),Value,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,
Fairy Flower Bulb,4,0,0,0,0,4,14,0.286,,,Good,,,Flower,Common,Enchanted Forest,#N/A
Impstool Mushroom,0,4,0,0,0,4,17,0.235,,Good,,,,Fungus,Common,Enchanted Forest,
Rotfly Larva,0,0,4,0,0,4,10,0.400,Good,,,,,Bug,Common,Enchanted Forest,
Feyberry,6,0,0,0,0,6,4,1.500,,,,,,Fruit,Common,Enchanted Forest,
Mandrake Root,0,6,0,0,0,6,4,1.500,,,,,,Plant,Common,Enchanted Forest,
Sack of Slime,0,0,6,0,0,6,7,0.857,,,,,,Slime,Common,Enchanted Forest,
Kappa Pheromones,4,0,4,0,0,8,13,0.615,,,,,,Essences,Uncommon,Enchanted Forest,
Pixiedust Diamond,0,4,4,0,0,8,14,0.571,,,,,,Gem,Uncommon,Enchanted Forest,
River Calamari,8,0,0,0,0,8,5,1.600,,Bad,,,,Fish,Common,Enchanted Forest,
River-Pixie's Shell,4,4,0,0,0,8,11,0.727,,,,,,Mineral,Uncommon,Enchanted Forest,
Serpent's Slippery Tongue,0,8,0,0,0,8,6,1.333,,,Bad,,,Flesh,Common,Enchanted Forest,
Unicorn Horn,0,0,8,0,0,8,6,1.333,Bad,,,,,Bone,Common,Enchanted Forest,
Cubic Ooze,3,3,3,0,0,9,16,0.563,,,,,,Slime,Rare,Enchanted Forest,
Desert Metal,0,12,0,0,0,12,25,0.480,,Good,,,,Ores,Common,Bone Wastes,
Fairy Flower Bud,12,0,0,0,0,12,23,0.522,,,Good,,,Flower,Common,Bone Wastes,
Murkwater Pearl,0,0,0,12,0,12,27,0.444,,,,Good,,Gem,Uncommon,Mushroom Mire,
Rotfly Cocoon,0,0,12,0,0,12,25,0.480,Good,,,,,Bug,Uncommon,Bone Wastes,
Trollstool Mushroom,0,12,0,0,0,12,20,0.600,,Good,,,,Fungus,Common,Mushroom Mire,
Wraith Orchid,0,0,0,12,0,12,19,0.632,,,,,,Flower,Common,Mushroom Mire,
Crocodile Tooth,6,0,12,0,0,18,20,0.900,,,,,,Bone,Common,Bone Wastes,
Glass Ore,0,0,0,18,0,18,24,0.750,,,,,,Ores,Common,Bone Wastes,
Horned Jelly,18,0,0,0,0,18,20,0.900,,Bad,,Good,,Slime,Uncommon,Bone Wastes,
Manwyrm Root,0,18,0,0,0,18,14,1.286,,,,,,Plant,Common,Bone Wastes,
Puckberry,18,0,0,0,0,18,16,1.125,,,,,,Fruit,Common,Mushroom Mire,
Sack of Hive Slime,0,0,18,0,0,18,21,0.857,,,,,,Slime,Common,Mushroom Mire,
Sphinx Flea,12,6,0,0,0,18,35,0.514,,Good,,,,Bug,Rare,Bone Wastes,
Swamp Fish,12,0,0,6,0,18,22,0.818,,,,,,Fish,Common,Mushroom Mire,
Fairy Flower Bloom,20,0,0,0,0,20,35,0.571,,,Good,,,Flower,Common,Storm Plains,
Giantstool Mushroom,0,20,0,0,0,20,80,0.250,,Good,,,,Fungus,Common,Shadow Steppe,
